Name,Location,Link,Average Rating,Review,Earnings,Jobs Completed,On Budget,On Time,Repeat Hire Rate,Join Date
SandeepKalkal,India,https://www.freelancer.com/u/SandeepKalkal,4.9,57,5.6,100%,100%,92%,13%,"October 17, 2015"
ninhquang,Vietnam,https://www.freelancer.com/u/ninhquang,5.0,49,6.7,100%,100%,100%,20%,"August 31, 2018"
avtar1073,India,https://www.freelancer.com/u/avtar1073,4.9,1034,9.3,98%,94%,92%,20%,"October 18, 2012"
elijoli1985,Turkey,https://www.freelancer.com/u/elijoli1985,4.9,79,6.5,97%,93%,93%,21%,"October 14, 2018"
davidvaldez,Mexico,https://www.freelancer.com/u/davidvaldez,5.0,83,7.5,100%,78%,94%,29%,"February 7, 2016"
JoynierB,Venezuela,https://www.freelancer.com/u/joynierb,5.0,33,6.1,100%,95%,89%,18%,"December 7, 2016"
abanob128,Egypt,https://www.freelancer.com/u/abanob128,4.9,61,6.0,98%,98%,94%,26%,"August 19, 2018"
kingjoon,Armenia,https://www.freelancer.com/u/kingjoon,5.0,809,10.0,99%,94%,93%,25%,"July 16, 2012"
marcellomessias,Brazil,https://www.freelancer.com/u/marcellomessias,4.9,138,8.2,97%,97%,91%,13%,"September 1, 2014"
EnggAbheesh2013,India,https://www.freelancer.com/u/enggabheesh2013,5.0,53,5.8,100%,100%,99%,22%,"November 15, 2014"
